1000 9 424 100 23 99 60 98 42 97 24 96 20 93 41 83 6 90 72 92 15
1001 9 427 98 39 99 60 97 28 93 4 96 49 95 91 94 84 91 61 92 40
1002 9 425 99 46 98 26 97 16 96 52 91 79 87 42 93 8 95 49 94 85
1003 9 427 99 60 98 68 96 67 97 29 94 5 90 60 93 61 92 72 95 87
1004 9 418 99 97 98 20 96 15 97 69 80 72 95 6 93 31 85 4 94 2
1005 9 422 99 93 98 73 96 32 94 26 91 37 97 42 88 86 90 96 92 29
1006 9 425 98 62 99 79 93 15 91 67 97 38 87 16 94 26 96 99 95 25
1007 9 427 99 29 97 47 96 50 91 79 98 67 92 8 93 78 95 49 94 96
1008 9 426 99 54 98 46 97 50 90 84 91 32 96 1 95 19 94 58 93 25
1009 9 423 97 18 99 63 98 29 95 96 92 28 90 54 96 61 91 68 89 18
1010 9 424 99 12 97 41 98 28 96 48 94 43 95 63 91 4 87 26 92 84
1011 9 423 99 49 97 68 98 42 91 43 95 4 96 91 94 61 92 30 85 36
1012 9 427 99 33 97 67 98 41 96 49 90 6 94 26 92 67 95 26 93 37
1013 9 427 99 59 97 81 98 15 96 80 94 9 93 1 90 33 95 27 92 86
1014 9 381 97 21 98 76 99 38 87 67 95 40 6 14 96 41 93 48 91 28
1015 9 427 99 59 98 15 95 63 97 90 90 63 96 26 94 65 93 33 92 16
1016 9 426 99 6 98 15 93 73 97 95 96 50 95 12 92 83 89 40 94 15
1017 9 426 99 48 95 24 98 59 96 47 97 53 92 29 94 61 88 78 93 93
1018 9 426 99 28 98 84 96 18 97 23 94 77 92 72 90 83 95 71 91 43
1019 9 423 99 82 98 97 97 5 95 38 94 99 96 83 88 4 91 89 89 26
1020 9 422 99 9 96 95 98 58 97 1 95 51 93 39 94 67 89 76 84 27
1021 9 421 99 95 97 71 98 55 95 4 91 6 96 92 92 47 94 38 81 90
1022 9 426 98 43 99 76 94 69 95 59 97 98 96 16 92 89 93 53 88 1
1023 9 424 99 34 98 78 95 33 96 70 97 94 94 58 93 74 91 21 85 34
1024 9 426 99 60 97 82 98 89 94 52 96 90 93 69 92 69 95 19 89 95
1025 9 412 98 15 99 45 96 94 89 48 97 40 95 23 71 61 94 17 85 45
1026 9 426 99 81 98 43 97 93 96 43 94 54 92 35 95 37 91 28 90 91
1027 9 426 99 91 98 72 97 66 96 26 95 65 91 39 94 92 93 94 90 93
1028 9 426 99 87 98 98 94 40 89 83 92 86 97 71 96 85 95 10 93 16
1029 9 423 99 8 98 64 96 96 97 90 94 71 93 68 95 22 86 91 88 76
1030 9 423 99 32 98 91 96 65 95 23 97 59 90 92 85 80 93 66 94 2
1031 9 423 99 60 98 99 97 40 92 11 96 49 95 67 83 3 94 49 93 77
1032 9 423 99 58 98 25 96 23 97 85 94 96 87 28 92 95 95 78 89 15
1033 9 420 99 40 93 26 98 4 94 72 97 13 96 69 95 60 77 5 92 48
1034 9 413 99 41 97 20 98 33 77 95 95 28 94 75 96 99 80 96 90 95
1035 9 427 98 68 92 19 96 59 99 23 97 78 93 8 95 21 94 19 91 59
1036 9 412 99 77 97 94 95 19 98 92 94 11 96 54 68 19 88 82 90 56
1037 9 424 99 15 95 79 96 44 98 3 97 72 85 78 94 61 93 72 92 93
1038 9 421 99 22 98 37 97 40 89 38 91 60 95 2 87 51 90 21 96 8
1039 9 427 99 82 98 60 96 20 95 30 97 7 94 67 92 39 90 18 93 51
1040 9 427 99 85 97 85 98 95 90 79 95 60 96 33 93 74 94 40 92 27
1041 9 419 99 53 98 26 93 98 97 13 95 62 90 6 96 80 82 62 89 64
1042 9 425 96 19 99 76 98 4 97 86 92 56 94 97 95 72 88 32 91 54
1043 9 427 99 77 97 60 96 71 98 73 95 4 93 11 90 28 92 85 94 25
1044 9 423 99 5 96 13 95 9 97 33 98 36 93 90 84 68 94 71 90 45
1045 9 422 98 9 99 98 97 47 95 12 96 2 93 95 85 27 88 35 94 33
1046 9 423 99 92 97 90 98 29 96 95 93 34 86 4 95 20 94 60 89 43
1047 9 427 98 88 99 78 93 90 96 39 97 99 94 84 95 94 92 50 91 4
1048 9 419 98 67 99 99 80 16 96 44 97 59 93 59 94 91 95 72 87 70
1049 9 427 99 50 98 87 97 31 95 76 93 37 96 50 92 17 91 70 94 51
